ID,Title,Content,Excerpt,Date,Post Type,Permalink,URL,Title,Caption,Description,Alt Text,Featured,URL,cliente_con_portadilla,_cliente_con_portadilla,cliente_destacado,_cliente_destacado,avatar_360,_avatar_360,banner_360,_banner_360,epigrafe,_epigrafe,check_multisite_peru,_check_multisite_peru,check_multisite_colombia,_check_multisite_colombia,_yoast_wpseo_estimated-reading-time-minutes,logo,_logo,url_portadilla,_url_portadilla,descripcion,_descripcion,post_views,url,_url,facebook,_facebook,twitter,_twitter,instagram,_instagram,linkedin,_linkedin,_yoast_wpseo_content_score,_yoast_wpseo_focuskw_text_input,_yoast_wpseo_focuskw,_yoast_wpseo_linkdex,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date
6296,AGQ Labs,,,2017-04-13 15:15:27,ra360,https://www.redagricola.com/cl/ra360/6296/,http://www.redagricola.com/cl/assets/uploads/2017/04/agq-1.png|http://www.redagricola.com/cl/assets/uploads/2017/04/agq-2-e1497643349305.png|http://www.redagricola.com/cl/assets/uploads/2017/04/agq180x180.jpg,AGQ|AGQ|logo,||,||,||,,,1,field_5836fb7bdd5a6,0,field_5836fb7bdd5aaa6,,field_582094a5b6d444,,field_582094a5b6d313,,field_58ffc2d70b6ed,SI,field_61829c1de4a64,SI,field_61829c345955c,,14089,field_583470a079675,http://www.redagricola.com/cl/agq-labs/,field_5836fac4dd5a5,"<a href=""http://agqlabs.cl/"">AGQ Labs</a> es un Centro Tecnológico Químico que fundamentado en laboratorios de análisis, ensayos avanzados e ingeniería química especializada, ofrece soluciones y servicios de valor dirigidos a los sectores agronómico, alimentario, ambiental, minero y salud y seguridad. Es una combinación de tecnología (Química analítica) y conocimiento especializado sectorial (Ingeniería Química aplicada).

Nuestra actividad es diversa y a la vez integrada, pues va desde estudios ambientales, a caracterizaciones de materias primas, seguimiento nutricional de cultivos o seguridad y calidad alimentaria. Pero si hubiese que concretar el valor que aportamos, y que es común en todas las áreas en que trabajamos, este sería:

Ser especialistas en la gestión eficiente y sostenible de los recursos naturales y capaces de ayudar a nuestros clientes a producir (alimentos, energía, metales y materias primas en general) de manera más segura y rentable.
Los laboratorios de AGQ Labs llevan a nuestros clientes servicios de valor y soluciones innovadoras y diferenciadas a nivel internacional. La red de laboratorios y centros de logística (Chile, España, Portugal, Perú, EstadosUnidos, Marruecos, México y Turquía) se unen a la experiencia y los conocimientos de nuestras áreas técnicas de especialidades químicas situando AGQ Labs como una empresa de referencia.",field_583470eff7383,83,http://agqlabs.cl/,field_583470e1f7382,https://www.facebook.com/agqlabs/,field_583497f63d99f,https://twitter.com/AGQLabs,field_5834981c3d9a0,,field_583498283d9a1,https://www.linkedin.com/company/agq-labs-&-tech-corporate-s-l-,field_583498343d9a2,,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,6296,,,0,0,0,closed,closed,2021-11-05 13:49:09
6314,WiseConn,,,2020-05-01 19:40:56,ra360,https://www.redagricola.com/cl/ra360/wiseconn/,http://www.redagricola.com/cl/assets/uploads/2017/04/wiseconn-e1492101779572.jpg|http://www.redagricola.com/cl/assets/uploads/2017/04/descarga.jpg|http://www.redagricola.com/cl/assets/uploads/2017/04/wiseconn-1.jpg|http://www.redagricola.com/cl/assets/uploads/2017/04/wiseconn-2.jpg|http://www.redagricola.com/cl/assets/uploads/2017/04/wiseconn-3.jpg|http://www.redagricola.com/cl/assets/uploads/2017/04/wiseconn180x180.jpg,wiseconn|descarga|wiseconn|wiseconn|wiseconn|WiseConn,|||||,|||||,|||||,,,1,field_5836fb7bdd5a6,0,field_5836fb7bdd5aaa6,,field_582094a5b6d444,,field_582094a5b6d313,,field_58ffc2d70b6ed,SI,field_61829c1de4a64,SI,field_61829c345955c,,14090,field_583470a079675,http://www.redagricola.com/cl/wiseconn/,field_5836fac4dd5a5,"<em>En <strong><a href=""http://www.wiseconn.cl"">WiseConn</a> </strong>estan conscientes de esta realidad y desarrollaron la tecnología para medir y controlar el agua en áreas tan diversas como la agricultura, minería e hidrología. La plataforma WiseConn está compuesta por un hardware inalámbrico instalado en terreno y un software al que se accede a través de internet, lo que permite a los usuarios ver su proceso y tomar decisiones informadas.</em>
<h2>Conozca con exactitud qué sucede en su campo a través de Drop Control</h2>
<h3>Drop Control</h3>
<strong><a href=""http://www.wiseconn.cl/aplicaciones/agricultura/"">Drop Control</a></strong> es una red de monitoreo y control en terreno, compuesta por nodos interconectados y un software, que permiten enviar información entre sí hasta un nodo central llamado Gateway. Este es el encargado de comunicar la red con un servidor web.

&nbsp;",field_583470eff7383,88,http://www.wiseconn.cl/,field_583470e1f7382,https://www.facebook.com/WiseConnChile,field_583497f63d99f,,field_5834981c3d9a0,https://www.instagram.com/wiseconn_chile/?hl=en,field_583498283d9a1,https://www.linkedin.com/company/wiseconn/,field_583498343d9a2,,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,wiseconn,,,0,0,0,closed,closed,2021-11-05 13:48:57
13648,Compo Expert,,,2019-08-30 19:47:39,ra360,https://www.redagricola.com/cl/ra360/compo-expert/,http://www.redagricola.com/cl/assets/uploads/2018/08/compo.jpg|http://www.redagricola.com/cl/assets/uploads/2019/08/compo-expert.png,compo|compo expert,|,|,|,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,32266,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/compo-expert/,field_5836fac4dd5a5,"<header>
<p style=""text-align: left;""><em><strong><a href=""http://www.compo-expert.com/cl/home.html"">Compo Expert</a></strong> es la compañía que produce fertilizantes y bioestimulantes especiales de alta calidad en sus dos plantas de fertilizantes propias en Krefeld (Alemania) y La Vall d 'Uixó (España), ofreciendo así a los usuarios profesionales soluciones seguras para las áreas de frutas, verduras, cultivos de campo, césped y verde público así como vivero y ornamentales.
</em></p>
<p style=""text-align: left;""><em>Su innovadora gama de productos incluye fertilizantes minerales especiales y estabilizados, fertilizantes de liberación lenta y controlada, fertilizantes solubles en agua y líquidos, así como bioestimulantes, oligoelementos y acondicionadores de suelos. Con esta gama de productos, <span class=""branding"">Compo Expert</span> ocupa una posición líder en el mercado.</em></p>

</header><header><header>
<h3>Vitanica RZ</h3>
</header>
<p style=""text-align: left;""><a href=""https://www.compo-expert.cl/home/productos/productos-foliares/bioestimulantes/vitanica-rz-y-vitanica-si/""><strong>Vitanica RZ</strong> </a>actúa tanto por vía foliar como radicular, reforzando el crecimiento radicular y el establecimiento de los cultivos, reduciendo el estrés post transplante, gracias a la combinación de los efectos bioestimulante de <em>Ecklonia maxima </em>con el efecto de competencia de <em>Bacillus</em> con patógenos fúngicos, por lo tanto, limitando el desarrollo de hongos.</p>


<hr />

<h2></h2>
<h2>Nueva línea premium de Compo Expert</h2>
Mejorar la eficiencia de absorción de nutrientes en sistemas productivos de alta exigencia es el objetivo de Compo Expert. Por esta razón lanzaron al  mercado, en su línea Basfoliar Premium SL, los productos Basfoliar Mg Premium SL y Basfoliar Zn Premium SL, complejados con aminoácidos naturales.

<strong>La línea Premium de Basfoliar tiene los siguiente productos:</strong>
<h3>Basfoliar Ca Premium SL</h3>
<a href=""https://www.compo-expert.cl/home/productos/productos-foliares/foliares-correctores/basfoliar-ca-sl-basfoliar-ca-flo-y-basfoliar-ca-premium-sl/""><strong>Basfoliar Ca Premium SL</strong></a>es un fertilizante foliar líquido del tipo solución acuosa (no floable) de Calcio multi complejado con ácidos carboxílicos, y en menor medida L-Alfa aminoácidos proveniente de Basfoliar<sup>®</sup> Amino Premium SL.

Basfoliar Ca Premium SL ha sido especialmente desarrollado para lograr alta seguridad en aplicaciones foliares, en conjunto con alta tasa de absorción foliar en condiciones adversas de baja humedad relativa, además no deja depósitos ni residuos en hojas y/o frutos, ofreciendo una aplicación segura del producto, y mayor compatibilidad con otros productos.
<h3>Basfoliar K Premium SL</h3>
<a href=""https://www.compo-expert.cl/home/productos/productos-foliares/foliares-correctores/basfoliar-k-premium-basfoliar-k-ps-y-basfoliar-k-n-ps/""><b>Basfoliar K Premium SL</b></a> es un fertilizante foliar líquido con alta concentración de Potasio, potenciado con extractos de Algas Marinas (<i>ecklonia maxima</i>) y Boro.

La formulación de <b>Basfoliar K Premium SL </b>(líquido) y la alta calidad de sus materias primas evitan riesgos de frutamanchada, incluso aplicado el día antes de la cosecha.
<h3>Basfoliar Mg Premium SL</h3>
<a href=""https://www.compo-expert.cl/home/productos/productos-foliares/foliares-correctores/basfoliar-mg-flo-basfoliar-mg-wp-y-basfoliar-mg-premium-sl/""><strong>Basfoliar Mg Premium SL</strong> </a>es un fertilizante Foliar líquido tipo solución acuosa (No floable), con 12% p/v de magnesio complejado con Ácidos Carboxílicos.

Basfoliar Mg Premium SL incluye en su formulación un alto contenido de carbohidratos y poli alcoholes, lo que representa un 8,5% p/v de Carbono 100% hidrosoluble. Contiene además 6% p/v de Basfoliar Algae, que adiciona principios naturales propios del alga <i>Durvillea antartica</i>.

Basfoliar Mg Premium SL ha sido especialmente desarrollado para lograr alta seguridad en las aplicaciones foliares, junto con una alta tasa de absorción foliar en condiciones adversas de baja humedad relativa.
<h3>Basfoliar Zn Premium SL</h3>
<strong><a href=""https://www.compo-expert.cl/home/productos/productos-foliares/foliares-correctores/basfoliar-zn-75-flo-basfoliar-zn-55-wp-basfoliar-zn35mn25-flo-basfoliar-zn35mn15-wp-y-basfoliar-zn-premium-sl/"">Basfoliar Zn Premium SL</a></strong> es un fertilizante Foliar Líquido, tipo solución acuosa (No floable), con 7% p/v de Zinc complejado con Ácidos Carboxílicos y L-Alfa Aminoácidos, provenientes de <strong>Basfoliar® Amino Premium SL</strong>

Basfoliar® Zn Premium SL incluye 10% P/V de extracto de alga <em>Ecklonia maxima</em>, proveniente de Basfoliar® Kelp SL, alto contenido de carbono 100% hidrosoluble, Molibdeno y Manganeso, equilibrio especialmente desarrollado para frutales, hortalizas y cultivos de alto potencial productivo.
<h3>Basfoliar Amino Premium SL</h3>
<strong><a href=""https://www.compo-expert.cl/home/productos/productos-foliares/bioestimulantes/basfoliar-amino-premium-sl/"">Basfoliar Amino Premium SL</a></strong> es un b<span lang=""ES-CL"">ioestimulante foliar rico en L-</span>α a<span lang=""ES-CL"">minoácidos, péptidos de bajo peso molecular (&lt;300 dalton), que permiten una rápida y eficaz absorción en la planta.</span>

<span lang=""ES-CL"">Contiene nucleótidos, vitaminas y minerales orgánicos, obtenidos enzimáticamente de peces de alta mar, materia prima libre de contaminación y con un alto valor nutricional</span>

</header>",field_583470eff7383,60,http://www.compo-expert.com/cl/home.html,field_583470e1f7382,https://www.facebook.com/CompoExpertChile,field_583497f63d99f,,field_5834981c3d9a0,https://www.instagram.com/compoexpertchile/,field_583498283d9a1,https://www.linkedin.com/company/compo/,field_583498343d9a2,,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,compo-expert,,,0,0,0,closed,closed,2021-06-11 02:31:35
13689,Valent Biosciences,,,2018-08-30 20:37:45,ra360,https://www.redagricola.com/cl/ra360/valent/,http://www.redagricola.com/cl/assets/uploads/2018/08/valent.jpg|http://www.redagricola.com/cl/assets/uploads/2018/08/agq2.jpg|http://www.redagricola.com/cl/assets/uploads/2018/08/wiseconn2.jpg,valent|agq2|wiseconn2,||,||,||,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,14088,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/valent/,field_5836fac4dd5a5,"Somos una empresa comprometida con la investigación y desarrollo de soluciones integrales para la producción y protección de los cultivos, orientadas a ayudar a los agricultores a mejorar la calidad y rendimiento productivo.

En <a href=""http://www.valent.cl/"" target=""_blank"" rel=""noopener noreferrer"">Valent Biosciences</a> abarcamos todas las áreas de desarrollo obteniendo soluciones integrales para la producción y protección de los cultivos.",field_583470eff7383,31,http://www.valent.cl/,field_583470e1f7382,,field_583497f63d99f,,field_5834981c3d9a0,,field_583498283d9a1,,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,valent,,,0,0,0,closed,closed,2018-10-05 19:09:16
13700,Green Universe,,,2018-08-30 20:56:47,ra360,https://www.redagricola.com/cl/ra360/green-universe/,http://www.redagricola.com/cl/assets/uploads/2018/08/green-univ.jpg|http://www.redagricola.com/cl/assets/uploads/2018/08/compo2.jpg|http://www.redagricola.com/cl/assets/uploads/2018/08/green-univ2.jpg|http://www.redagricola.com/cl/assets/uploads/2018/08/valent2.jpg,green-univ|compo2|green-univ2|valent2,|||,|||,|||,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,14087,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/green-universe/,field_5836fac4dd5a5,"<div id=""comp-jdu82wem"" class=""txtNew"" data-packed=""true"">
<p class=""font_7""><span class=""color_11"">GREEN UNIVERSE AGRICULTURE ofrece soluciones para todos los problemas y deficiencias que puedas encontrarte en tus cultivos. Gracias a nuestra experiencia de trabajo en campo y capacidad investigadora, fabricamos y vendemos productos que se adaptan a las necesidades de los agricultores en cada momento y en cada situación. Siempre a disposición del productor para trabajar juntos solucionando los problemas del campo, manteniendo nuestra filosofía de impacto mínimo en el ecosistema.</span></p>
<p class=""font_7""><span class=""color_11"">En <a href=""https://www.greenuniverseagriculture.com/"" target=""_blank"" rel=""noopener noreferrer"">GREEN UNIVERSE</a> estamos comprometidos con el medio ambiente, apostando por la reducción de los residuos químicos en el campo y por un aumento de producción sostenible en el tiempo.</span></p>

</div>
<div id=""comp-jdub2mms"" class=""txtNew"" data-packed=""true"">
<p class=""font_7""><span class=""color_11"">Para conseguir estos objetivos, GREEN UNIVERSE cuenta con una gama de productos muy amplia que cubre las necesidades identificadas en el campo por nuestros profesionales alrededor del mundo. Todos nuestros productos han sido comprobados y ensayados por instituciones externas, asegurando su eficiencia en todas las situaciones.</span></p>
<p class=""font_7""><span class=""color_11"">Los productos de GREEN UNIVERSE AGRICULTURE están actualizándose continuamente para contar con la última tecnología y ponerla a disposición de los agricultores. Los productos que comercializa la empresa se dividen según su acción en el campo.</span></p>

</div>",field_583470eff7383,21,https://www.greenuniverseagriculture.com/,field_583470e1f7382,,field_583497f63d99f,,field_5834981c3d9a0,,field_583498283d9a1,,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,green-universe,,,0,0,0,closed,closed,2018-09-25 12:40:36
14091,Agro Puelma,,,2018-09-25 13:22:41,ra360,https://www.redagricola.com/cl/ra360/agro-puelma/,http://www.redagricola.com/cl/assets/uploads/2018/09/agropuelma.jpg|http://www.redagricola.com/cl/assets/uploads/2018/09/amecological.jpg|http://www.redagricola.com/cl/assets/uploads/2018/09/bioamerica.jpg,agropuelma|amecological|bioamerica,||,||,||,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,14092,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/agro-puelma/,field_5836fac4dd5a5,"<div class=""elementor-element elementor-element-e0c11e4 elementor-widget elementor-widget-text-editor"" data-id=""e0c11e4"" data-element_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<div class=""elementor-text-editor elementor-clearfix"">

<em><a href=""https://www.agropuelma.cl/""><strong>Ag</strong><strong>ropuelma</strong></a> es una empresa con 30 años de experiencia, con cobertura desde Arica hasta Temuco, dedicada a entregar soluciones tecnológicas y efectivas para el agro.</em>
<em>Como empresa buscan satisfacer cabalmente las necesidades de sus clientes, entregando soluciones efectivas e innovadoras que permitan a sus clientes atender los mercados cada vez más exigentes.</em>
<em>Su misión es ser una empresa rentable y que entrega valor dentro de la cadena de distribución de insumos agrícolas a través de una venta altamente técnica.
</em><em>Son especialistas en: mejoramiento de suelo, soluciones nutricionales líquidas NPK, correctores nutricionales y en protección cero residuos.</em>

</div>
</div>
</div>
<div class=""elementor-element elementor-element-c7a86c3 elementor-widget elementor-widget-text-editor"" data-id=""c7a86c3"" data-element_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<h3>Mejoramiento del suelo para un máximo aprovechamiento del agua</h3>
La experiencia en producción de nueces de agricultores y especialistas que han experimentado problemas de riego han encontrado la solución a través de los productos de Agro Puelma que mejoran las características edáficas.
<h3>Nutrafol Humic Pam</h3>
<p style=""text-align: left;""><a href=""http://www.agropuelma.cl/nutrafol-humic-pam/""><strong>Nutrafol Humic Pam</strong></a> es una formulación líquida de grado técnico en base a Poliacrilamidas (PAM) y ácidos húmicos. Puede ser aplicados en cultivos vía sistemas de riego, de manera de optimizar la infiltración del agua y la habilidad para retener humedad. Nutrafol Humic Pam asiste en la reducción de la lixiviación de los nutrientes y en la reducción del uso del agua, incrementando la efectividad del movimiento del agua.</p>
<p style=""text-align: left;"">Se recomienda usar Nutrafol Humic Pam durante el tercio medio del riego en sistemas de riego presurizado. Asimismo, se recomienda no aplicar con otros productos y no dejar en estanque de solución más de 1 día, para evitar formación de gel. Para el riego tendido, de debe aplicar con equipo de barra previo al riego.</p>

<h3>Nutrafol Humic 80</h3>
<p style=""text-align: justify;""><a href=""http://www.agropuelma.cl/nutrafol-humic-80/""><strong>Nutrafol Humic 80</strong></a> es un producto soluble derivado de depósitos de leonardita, especialmente indicado para mejorar la estructura de suelo. Por sus características físico-químicas, aumenta la capacidad de intercambio catiónico contribuyendo a mejorar la fertilidad del suelo.  Asimismo, posee una solubilidad máxima de un 15%.</p>
<p style=""text-align: justify;"">Se recomienda usar Nutrafol Humic 80% de modo que la disolución no sobrepase a más del 12% y a modo de espolvoreo en estanque de dilución, agregando agua continuamente y agitando la solución a fin de no generar aglomerados.</p>

<h3>Flocucal</h3>
<strong><a href=""http://www.agropuelma.cl/flocucal/"">Flocucal </a></strong>es una suspensión concentrada líquida, en base a calcio grado técnico, la cual aplicada al suelo: Corrige alta salinidad y conductividad eléctrica. Corrige el peligro de degradación del sodio de la estructura del suelo y ayuda a mantener el suelo floculado para una buena aireación y penetración de las raíces. Ejerce un efecto supresor sobre desarrollo de Phytophtora Cinnamomi. El 95% de las partículas en suspensión es menor a 2 micras.

La dosis recomendada oscila entre los 20 a 60 lt/ha por temporada, según el tipo de suelo y el objetivo deseado. Se recomienda aplicar Flocucal solo y debe ser pre-diluido en el estanque de fertirrigación y mantener el agitador funcionando durante su aplicación.
<h3>Nanosil 36</h3>
<strong>Nanosil 36</strong> es un producto altamente concentrado en nanopartículas de Silicio, que poseen una alta capacidad de cubrimiento y penetración en los tejidos, reforzando su estructura, lo que les otorga mayor resistencia a diferentes situaciones de estrés (bióticos y abióticos).

La incorporación de Nanosil 36 en aplicaciones de crecimiento de brotes o frutas trae como beneficio la reducción de la transpiración de los tejidos, evitando daños por radiación y mejorando también la vida y apariencia en postcosecha. Asimismo, aumenta la turgencia y resistencia de los tejidos, disminuyendo los desórdenes fisiológicos, partiduras de frutas, ataques de insectos y hongos. Y también incrementa la resistencia a salinidad, sequia, heladas
<h3>GrowUP</h3>
<strong>GrowUP</strong> es un bioestimulante formulado en base a una mezcla de compuestos naturales que actúan mejorando tanto la viabilidad como germinación del polen, aumentando así el cuajado. Además, incrementa la división celular y estimula los procesos fisiológicos de las plantas, obteniendo homogeneidad y un mayor crecimiento de fruta. Grow-up también actúa como un poderoso antiestresante,
<h3>Quito-ROOT</h3>
<strong>Quito-ROOT</strong> es un producto formulado a base de extracto de algas, aminoácidos y quitosano degradado por bioenzimas, que es un elicitor de resistencia que actúa a través de la estimulación de los mecanismos naturales de defensa de la planta. Quito-ROOT dado su composición, estimula el crecimiento radicular, obteniendo un buen desarrollo de nuevas raíces absorbentes.

&nbsp;

</div>
</div>
<div class=""elementor-element elementor-element-cc52c8b elementor-widget elementor-widget-image"" data-id=""cc52c8b"" data-element_type=""image.default""></div>",field_583470eff7383,20,https://www.agropuelma.cl/,field_583470e1f7382,https://www.facebook.com/agropuelma,field_583497f63d99f,,field_5834981c3d9a0,,field_583498283d9a1,,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,agro-puelma,,,0,0,0,closed,closed,2020-06-14 20:13:12
14097,AM Ecological,,,2018-09-25 13:36:59,ra360,https://www.redagricola.com/cl/ra360/am-ecological/,,,,,,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,14093,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/am-ecological/,field_5836fac4dd5a5,"<a href=""http://www.amecological.com/"" target=""_blank"" rel=""noopener noreferrer"">AM Ecological</a> es una empresa de innovación, prestamos asesorías y acompañamiento a nuestros agricultores, a través del capital humano con valores éticos y altamente profesionales, fomentando así, el desarrollo de la agricultura sustentable acorde a las necesidades y exigencias internacionales de calidad.

Somos actores técnicos, profesionales y comercialmente serios que buscamos el crecimiento de la compañía, creando un ambiente de trabajo agradable, desafiante e innovador.

Apoyamos a los diferentes actores del área agrícola que buscan alternativas confiables a la producción convencional, entregando soluciones técnicas, seguras y económicamente viables que contribuyen a la producción limpia y protección del medioambiente.",field_583470eff7383,10,http://www.amecological.com/,field_583470e1f7382,,field_583497f63d99f,,field_5834981c3d9a0,,field_583498283d9a1,,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,am-ecological,,,0,0,0,closed,closed,2018-09-25 13:36:59
14098,Bioamerica,,,2018-09-25 13:42:15,ra360,https://www.redagricola.com/cl/ra360/bioamerica/,,,,,,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,14094,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/bioamerica/,field_5836fac4dd5a5,"<p style=""text-align: justify;""><em><a href=""http://www.bioamerica.cl/""><strong>Bioamerica</strong> </a>es líder en el mercado nacional a través de sus líneas de Nutrición Vegetal y Semillas de Hortalizas Híbridas. </em><em>Son una empresa que a través de los años se ha dedicado a establecer e incorporar en Chile los nuevos parámetros de la Nueva agricultura y ponerlos al servicio de nuestros agricultores.
</em><em>Todo su caudal de conocimientos y experiencias lo ponen al servicio de sus clientes por medio de un equipo técnico del más alto nivel profesional, el cual es capacitado constantemente tanto en Chile como en el extranjero. Es con este equipo que Bioamerica está presente en todo el país para dar soluciones reales, limpias y amigables con el medio ambiente.</em></p>

<h3>Soluciones para uso en agricultura orgánica</h3>
<p class=""text-justify mb-5"" style=""text-align: left;"">Contamos con una amplia línea de productos enfocados en la nutrición y protección que pueden utilizarse de conformidad con las normas y reglamentos respectivos de cada mercado, evaluados por KIWA BCS, Biaudita, Ecocert Group y/o Servicio Agrícola Ganadero.</p>

<h3 class=""text-justify mb-5"" style=""text-align: justify;"">Erger</h3>
<strong>Bioestimulante promotor del rendimiento</strong>

<a href=""https://www.bioamerica.cl/nutricion-y-proteccion/linea-liquida/bioestimulantes/promotor-brotacion/erger/""><strong>Erger</strong> </a>es un bioestimulante a base de extractos vegetales, promotor de la brotación y reductor de desuniformidad de estados fenológicos. Es un concentrado soluble que viene en presentación de envases por 25 L. Además, puede ser aplicado en cultivos como: el cerezo, la uva de mesa y los nogales. En cerezos, homogeniza la brotación, floración y maduración de frutos incrementando la producción. En uva de mesa, anticipa y uniforma la brotación y maduración, reduciendo el número de yemas ciegas.En nogal, aumenta la sincronía entre flores masculinas y femeninas logrando mejoras en el rendimiento. Asimismo, por su composición y formulación no es fitotóxico y es inocuo para operadores, maquinarias y el ambiente.

Se debe usar Erger porque potencia la fertilidad de las yemas, aumenta el porcentaje de cuaja de centros productivos, aumenta la retención del fruto y asegura la productividad del huerto.

&nbsp;

&nbsp;",field_583470eff7383,27,http://www.bioamerica.cl/,field_583470e1f7382,,field_583497f63d99f,,field_5834981c3d9a0,https://www.instagram.com/bioamerica/,field_583498283d9a1,https://www.linkedin.com/company/bioamerica/,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,bioamerica,,,0,0,0,closed,closed,2020-05-25 22:07:50
14431,HDI Seguros,,,2020-05-01 12:56:41,ra360,https://www.redagricola.com/cl/ra360/hdi-seguros/,http://www.redagricola.com/cl/assets/uploads/2018/10/hdi2.jpg,hdi2,,,,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,14435,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/hdi-seguros/,field_5836fac4dd5a5,"<strong><a href=""https://www.hdi.cl/"">HDI Seguros</a></strong> es una empresa del grupo alemán Talanx AG, la tercera aseguradora más grande de Alemania, con presencia en más de 150 países y con sucursales en Europa y Latinoamérica (Argentina, Brasil, Chile, México, Colombia, Perú y Uruguay).  Posee altos estándares de calidad europeos y se sostiene en sólidos principios, que le han significado consolidarse como una empresa moderna, con alto desarrollo tecnológico y líneas de negocio establecidas para las personas y las pymes.
<h3>Que tu inversión no dependa del clima</h3>
<strong>Disminuye la incertidumbre y asegura la continuidad de tu negocio</strong>
<h2>Seguro agrícola carozos</h2>
Este <strong><a href=""https://www.hdi.cl/hdi-seguros-home/seguros/seguro-agricola/seguro-carozos/"">seguro para carozos</a></strong> protege del granizo a los almendros, cerezos, ciruelos, damascos, durazno y nectarín. Se aseguran el costo unitario de producción hasta antes de cosecha, es decir costos totales divido por la producción total esperada. Por ejemplo: si el rendimiento esperado de un huerto de cerezas es de 12 ton/ha, y sus costos de producción son de 12.000 dólares/ha, este será el monto asegurado de una há y el precio unitario de 1000 USD$/Ton. De este modo, si el agricultor que tiene 10 há, el monto asegurado es de USD$120.000.

&nbsp;

&nbsp;",field_583470eff7383,18,https://www.hdi.cl/,field_583470e1f7382,,field_583497f63d99f,,field_5834981c3d9a0,,field_583498283d9a1,,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,hdi-seguros,,,0,0,0,closed,closed,2020-06-01 01:52:48
16338,Agrocopper,,,2019-04-11 19:51:38,ra360,https://www.redagricola.com/cl/ra360/agrocopper/,http://www.redagricola.com/cl/assets/uploads/2019/04/agrocopper.jpg,agrocopper,,,,,,1,field_5836fb7bdd5a6,,,,,,,,,,,,,,16339,field_583470a079675,http://www.redagricola.com/cl/redagricola-360/agrocopper,field_5836fac4dd5a5,"Agrocopper actúa en forma preventiva por acción de contacto evitando la germinación, la reproducción y el desarrollo de agentes patógenos y enfermedades que afectan a cultivos frutales de carozo, pomáceas, nogales, vides, mandarina, ARANDANO, TOMATE y papas. Está especialmente recomendado para ser aplicado en bajas dosis, ya que logra liberar en forma inmediata una alta concentración de iones Cu<sup>+2</sup> que actúan directamente sobre las membranas celulares de patógenos, afectando su regulación osmótica e intercambio de nutrientes inhibiendo así su desarrollo y reproducción. Al ser aplicado por aspersión, logra un fino y uniforme cubrimiento, incluso logra penetrar al vegetal a través del follaje permitiendo aumentar la disponibilidad, y metabolización del Cu<sup>+2</sup> que actúa como activador del sistema enzimático favoreciendo los procesos redox, mejorando la activación del sistema inmunológico del vegetal (SAR). Agrocopper está formulado como un polvo soluble (SP), que cuenta con una alta concentración de Ion <sup>+2</sup> disponible, permitiéndole una rápida dilución y un gran poder controlador de hongos y bacterias. Evita concentraciones indeseadas de cobre insoluble (normal en aplicaciones de cobres del tipo óxidos, oxicloruros hidróxidos u otras sales insolubles como los caldos bordaleses), siendo esto muy importante para evitar manchas en follaje y frutos, así como para la sanidad y lignificación de áreas dañadas o heridas, que normalmente son el foco de infección, desarrollo y multiplicación del enfermedades en el vegetal. Presenta excelentes propiedades de Dispersión (100%), Solubilidad (&gt;95%), Suspensibilidad (&gt;30 min.), Soltura y Fluidez.",field_583470eff7383,12,https://www.cropscience.bayer.cl/,field_583470e1f7382,,field_583497f63d99f,,field_5834981c3d9a0,,field_583498283d9a1,,field_583498343d9a2,30,,,,publish,2,Agr1col@dmin,juanpablo@reactor.cl,andres,avalancha,agrocopper,,,0,0,0,closed,closed,2019-04-11 19:51:38
